(2(0), 4(1), 4(2)) - 01-pr
(2(0), 4(1), 8(3)) - 0 1 2
(2(0), 4(1), 8(4)) - 0 1 2
(2(0), 4(1), 8(5)) - 0 1 2
(2(0), 4(1), 16(6)) - 0 1 3
(2(0), 4(2), 8(3)) - 0 1 2
(2(0), 4(2), 8(4)) - 0 1 2
(2(0), 4(2), 8(5)) - 0 1 2
(2(0), 4(2), 16(6)) - 0 1 3
(2(0), 8(3), 8(4)) - 02-pr
(2(0), 8(3), 8(5)) - 02-pr
(2(0), 8(3), 16(6)) - 0 2 3
(2(0), 8(4), 8(5)) - 02-pr
(2(0), 8(4), 16(6)) - 0 2 3
(2(0), 8(5), 16(6)) - 0 2 3
(4(1), 4(2), 8(3)) - 12-pr
(4(1), 4(2), 8(4)) - 12-pr
(4(1), 4(2), 8(5)) - 12-pr
(4(1), 4(2), 16(6)) - 13-pr
(4(1), 8(3), 8(4)) - 12-pr
(4(1), 8(3), 8(5)) - 12-pr
(4(1), 8(3), 16(6)) - 1 2 3
(4(1), 8(4), 8(5))- 12-pr
(4(1), 8(4), 16(6)) - 1 2 3
(4(1), 8(5), 16(6)) - 1 2 3
(4(2), 8(3), 8(4)) - 12-pr
(4(2), 8(3), 8(5)) - 12-pr
(4(2), 8(3), 16(6)) - 1 2 3
(4(2), 8(4), 8(5)) - 12-pr
(4(2), 8(4), 16(6)) - 1 2 3
(4(2), 8(5), 16(6)) - 1 2 3
(8(3), 8(4), 8(5)) - 2-ir
(8(3), 8(4), 16(6))
(8(3), 8(5), 16(6))
(8(4), 8(5), 16(6))
35
